Report Date,Market,BenchName,Currency,TimeZone,Resolution
13/10/2016,EEX,EEX,EUR,Central Europe Standard Time,Hour
,,DE/ATBase,DE/ATPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
20/10/2016,22,38.2910516700704,
20/10/2016,23,38.2635120083396,
20/10/2016,24,38.236017424746,
21/10/2016,1,38.2085683937976,
21/10/2016,2,38.1811653924688,
21/10/2016,3,38.1538089002361,
21/10/2016,4,38.126499399048,
21/10/2016,5,38.0992373733388,
21/10/2016,6,38.0720233100419,
21/10/2016,7,38.0448576985546,
21/10/2016,8,38.0177410307624,
21/10/2016,9,37.9906738010532,43.955126993028
21/10/2016,10,37.9636565062756,43.9824388662373
21/10/2016,11,37.936689645775,44.009705491093
21/10/2016,12,37.9097737213797,44.0369264173733
21/10/2016,13,37.8829092374008,44.0641011926218
21/10/2016,14,37.8560967006351,44.0912293621532
21/10/2016,15,37.8293366203652,44.1183104690554
21/10/2016,16,37.8026295083509,44.1453440541873
21/10/2016,17,37.7759758788434,44.1723296561704
21/10/2016,18,37.7493762485765,44.1992668114162
21/10/2016,19,37.7228311367644,44.2261550540852
21/10/2016,20,37.6963410651151,44.2529939161304
21/10/2016,21,37.6699065578086,
21/10/2016,22,37.6435281415188,
21/10/2016,23,37.6172063453996,
21/10/2016,24,37.5909417010907,
22/10/2016,1,37.5647347427093,
22/10/2016,2,37.5385860068718,
22/10/2016,3,37.5124960326639,
22/10/2016,4,37.4864653616678,
22/10/2016,5,37.4604945379378,
22/10/2016,6,37.4345841080221,
22/10/2016,7,37.4087346209462,
22/10/2016,8,37.3829466282295,
22/10/2016,9,37.3572206838608,
22/10/2016,10,37.3315573443333,
22/10/2016,11,37.3059571686017,
22/10/2016,12,37.2804207181225,
22/10/2016,13,37.2549485568325,
22/10/2016,14,37.2295412511485,
22/10/2016,15,37.2041993699677,
22/10/2016,16,37.178923484692,
22/10/2016,17,37.1537141691788,
22/10/2016,18,37.1285719997904,
22/10/2016,19,37.1034975553694,
22/10/2016,20,37.0784914172382,
22/10/2016,21,37.0535541692052,
22/10/2016,22,37.0286863975698,
22/10/2016,23,37.0038886910952,
22/10/2016,24,36.9791616410657,
23/10/2016,1,36.9545058412023,
23/10/2016,2,36.9299218877577,
23/10/2016,3,36.9054103794324,
23/10/2016,4,36.8809719174369,
23/10/2016,5,36.8566071054402,
23/10/2016,6,36.8323165496213,
23/10/2016,7,36.8081008586341,
23/10/2016,8,36.7839606435991,
23/10/2016,9,36.7598965181605,
23/10/2016,10,36.7359090984046,
23/10/2016,11,36.7119990029278,
23/10/2016,12,36.688166852804,
23/10/2016,13,36.6644132715874,
23/10/2016,14,36.6407388853231,
23/10/2016,15,36.6171443225367,
23/10/2016,16,36.5936302142418,
23/10/2016,17,36.5701971939297,
23/10/2016,18,36.5468458975747,
23/10/2016,19,36.5235769636556,
23/10/2016,20,36.500391033107,
23/10/2016,21,36.4772887493655,
23/10/2016,22,36.4542707583478,
23/10/2016,23,36.4313377084536,
23/10/2016,24,36.4084902505683,
24/10/2016,1,36.3857290380656,
24/10/2016,2,36.3630547267912,
24/10/2016,3,36.3404679750874,
24/10/2016,4,36.3179694437767,
