Report Date,Market,BenchName,Currency,TimeZone,Resolution
12/08/2013,NPS_SpotSubDaily,NPS_SpotSubDaily,EUR,Central Europe Standard Time,Hour
,,NPSBase,NPSPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
19/08/2013,21,33.467522929071,0
19/08/2013,22,33.5160592426778,0
19/08/2013,23,33.564310046057,0
19/08/2013,24,33.6122723179842,0
20/08/2013,1,33.6599430213237,0
20/08/2013,2,33.7073191030436,0
20/08/2013,3,33.7543974942105,0
20/08/2013,4,33.8011751099893,0
20/08/2013,5,33.8476488496435,0
20/08/2013,6,33.8938155965375,0
20/08/2013,7,33.93967221813,0
20/08/2013,8,33.9852155659823,0
20/08/2013,9,34.0304424757555,34.0304424757555
20/08/2013,10,34.0753497672035,34.0753497672035
20/08/2013,11,34.1199342441828,34.1199342441828
20/08/2013,12,34.1641926946536,34.1641926946536
20/08/2013,13,34.2081218906665,34.2081218906665
20/08/2013,14,34.251718588373,34.251718588373
20/08/2013,15,34.2949795280288,34.2949795280288
20/08/2013,16,34.3379014339794,34.3379014339794
20/08/2013,17,34.3804810146785,34.3804810146785
20/08/2013,18,34.4227149626727,34.4227149626727
20/08/2013,19,34.4645999546069,34.4645999546069
20/08/2013,20,34.50613265123,34.50613265123
20/08/2013,21,34.5473096973838,0
20/08/2013,22,34.5881277220137,0
20/08/2013,23,34.6285833381571,0
20/08/2013,24,34.6686731429618,0
21/08/2013,1,34.7083937176631,0
21/08/2013,2,34.7477416275974,0
21/08/2013,3,34.7867134222065,0
21/08/2013,4,34.8253056350236,0
21/08/2013,5,34.8635147836844,0
21/08/2013,6,34.9013373699204,0
21/08/2013,7,34.9387698795681,0
21/08/2013,8,34.975808782553,0
21/08/2013,9,35.01245053291,35.01245053291
21/08/2013,10,35.0486915687652,35.0486915687652
21/08/2013,11,35.0845283123463,35.0845283123463
21/08/2013,12,35.119957169979,35.119957169979
21/08/2013,13,35.1549745320917,35.1549745320917
21/08/2013,14,35.1895767732017,35.1895767732017
21/08/2013,15,35.2237602519394,35.2237602519394
21/08/2013,16,35.257521311019,35.257521311019
21/08/2013,17,35.290856277265,35.290856277265
21/08/2013,18,35.3237614615964,35.3237614615964
21/08/2013,19,35.3562331590292,35.3562331590292
21/08/2013,20,35.3882676486819,35.3882676486819
21/08/2013,21,35.4198611937659,0
21/08/2013,22,35.4510100415991,0
21/08/2013,23,35.481710423594,0
21/08/2013,24,35.5119585552611,0
22/08/2013,1,35.541750636211,0
22/08/2013,2,35.5710828501551,0
22/08/2013,3,35.5999513648967,0
22/08/2013,4,35.6283523323468,0
22/08/2013,5,35.6562818885109,0
22/08/2013,6,35.6837361534926,0
22/08/2013,7,35.7107112314943,0
22/08/2013,8,35.7372032108192,0
22/08/2013,9,35.7632081638662,35.7632081638662
22/08/2013,10,35.7887221471369,35.7887221471369
22/08/2013,11,35.8137412012297,35.8137412012297
22/08/2013,12,35.8382613508402,35.8382613508402
22/08/2013,13,35.8622786047649,35.8622786047649
22/08/2013,14,35.8857889559004,35.8857889559004
22/08/2013,15,35.9087883812385,35.9087883812385
22/08/2013,16,35.9312728418699,35.9312728418699
22/08/2013,17,35.9532382829902,35.9532382829902
22/08/2013,18,35.9746806338826,35.9746806338826
22/08/2013,19,35.9955958079449,35.9955958079449
22/08/2013,20,36.0159797026558,36.0159797026558
22/08/2013,21,36.0358281996059,0
22/08/2013,22,36.0551371644815,0
