ISO_Currency;PeriodName;RateDate;Bid;Ask;Rate;;;;;;;;;
EUR;3M;12-apr-12;;;0.98000;20120412;;;;;;;;
EUR;6M;12-apr-12;;;1.23000;20120412;;;;;;;;
EUR;9M;12-apr-12;;;1.43000;20120412;;;;;;;;
EUR;1Y;12-apr-12;;;1.58000;20120412;;;;;;;;
EUR;2Y;12-apr-12;;;2.47000;20120412;;;;;;;;
EUR;3Y;12-apr-12;;;3.06000;20120412;;;;;;;;
EUR;4Y;12-apr-12;;;3.53000;20120412;;;;;;;;
EUR;5Y;12-apr-12;;;4.08000;20120412;;;;;;;;
EUR;7Y;12-apr-12;;;4.08000;20120412;;;;;;;;
EUR;10Y;12-apr-12;;;4.08000;20120412;;;;;;;;
GBP;Spot;11-apr-12;;;1.59250;20120411;;;;;;;;
GBP;1W;11-apr-12;;;0.59644;20120411;;;;;;;;
GBP;1M;11-apr-12;;;0.73819;20120411;;;;;;;;
GBP;3M;11-apr-12;;;1.05963;20120411;;;;;;;;
GBP;6M;11-apr-12;;;1.37938;20120411;;;;;;;;
GBP;9M;11-apr-12;;;1.64731;20120411;;;;;;;;
GBP;1Y;11-apr-12;;;1.88306;20120411;;;;;;;;
GBP;2Y;11-apr-12;;;1.22200;20120411;;;;;;;;
GBP;3Y;11-apr-12;;;1.27400;20120411;;;;;;;;
GBP;4Y;11-apr-12;;;1.37900;20120411;;;;;;;;
GBP;5Y;11-apr-12;;;1.53400;20120411;;;;;;;;
GBP;7Y;11-apr-12;;;1.88100;20120411;;;;;;;;
GBP;10Y;11-apr-12;;;2.36100;20120411;;;;;;;;
GBP;Spot;12-apr-12;;;1.59250;20120412;;;;;;;;
GBP;1W;12-apr-12;;;0.59644;20120412;;;;;;;;
GBP;1M;12-apr-12;;;0.73819;20120412;;;;;;;;
GBP;3M;12-apr-12;;;1.05963;20120412;;;;;;;;
GBP;6M;12-apr-12;;;1.37938;20120412;;;;;;;;
GBP;9M;12-apr-12;;;1.64731;20120412;;;;;;;;
GBP;1Y;12-apr-12;;;1.88306;20120412;;;;;;;;
GBP;2Y;12-apr-12;;;1.22200;20120412;;;;;;;;
GBP;3Y;12-apr-12;;;1.27400;20120412;;;;;;;;
GBP;4Y;12-apr-12;;;1.37900;20120412;;;;;;;;
GBP;5Y;12-apr-12;;;1.53400;20120412;;;;;;;;
GBP;7Y;12-apr-12;;;1.88100;20120412;;;;;;;;
GBP;10Y;12-apr-12;;;2.36100;20120412;;;;;;;;
USD;Spot;11-apr-12;;;1.00000;20120411;;;;;;;;
USD;1W;11-apr-12;;;0.17000;20120411;;;;;;;;
USD;1M;11-apr-12;;;0.20000;20120411;;;;;;;;
USD;3M;11-apr-12;;;0.37000;20120411;;;;;;;;
USD;6M;11-apr-12;;;0.54000;20120411;;;;;;;;
USD;9M;11-apr-12;;;0.85000;20120411;;;;;;;;
USD;1Y;11-apr-12;;;0.90000;20120411;;;;;;;;
USD;2Y;11-apr-12;;;0.90000;20120411;;;;;;;;
USD;3Y;11-apr-12;;;0.90000;20120411;;;;;;;;
USD;4Y;11-apr-12;;;0.90000;20120411;;;;;;;;
USD;5Y;11-apr-12;;;1.10000;20120411;;;;;;;;
USD;7Y;11-apr-12;;;1.55000;20120411;;;;;;;;
USD;10Y;11-apr-12;;;2.02000;20120411;;;;;;;;
USD;Spot;12-apr-12;;;1.00000;20120412;;;;;;;;
USD;1W;12-apr-12;;;0.17000;20120412;;;;;;;;
USD;1M;12-apr-12;;;0.20000;20120412;;;;;;;;
USD;3M;12-apr-12;;;0.37000;20120412;;;;;;;;
USD;6M;12-apr-12;;;0.54000;20120412;;;;;;;;
USD;9M;12-apr-12;;;0.85000;20120412;;;;;;;;
USD;1Y;12-apr-12;;;0.90000;20120412;;;;;;;;
USD;2Y;12-apr-12;;;0.90000;20120412;;;;;;;;
USD;3Y;12-apr-12;;;0.90000;20120412;;;;;;;;
USD;4Y;12-apr-12;;;0.90000;20120412;;;;;;;;
USD;5Y;12-apr-12;;;1.10000;20120412;;;;;;;;
USD;7Y;12-apr-12;;;1.55000;20120412;;;;;;;;
USD;10Y;12-apr-12;;;2.02000;20120412;;;;;;;;
CHF;Spot;11-apr-12;;;0.91450;20120411;;;;;;;;
CHF;1W;11-apr-12;;;0.04833;20120411;;;;;;;;
CHF;1M;11-apr-12;;;0.06083;20120411;;;;;;;;
CHF;3M;11-apr-12;;;0.08667;20120411;;;;;;;;
CHF;6M;11-apr-12;;;0.14333;20120411;;;;;;;;
CHF;9M;11-apr-12;;;0.23533;20120411;;;;;;;;
CHF;1Y;11-apr-12;;;0.36283;20120411;;;;;;;;
CHF;2Y;11-apr-12;;;0.09800;20120411;;;;;;;;
CHF;3Y;11-apr-12;;;0.14200;20120411;;;;;;;;
CHF;4Y;11-apr-12;;;0.24500;20120411;;;;;;;;
CHF;5Y;11-apr-12;;;0.38800;20120411;;;;;;;;
CHF;7Y;11-apr-12;;;0.69500;20120411;;;;;;;;
CHF;10Y;11-apr-12;;;1.05000;20120411;;;;;;;;
CHF;Spot;12-apr-12;;;0.91450;20120412;;;;;;;;
CHF;1W;12-apr-12;;;0.04833;20120412;;;;;;;;
CHF;1M;12-apr-12;;;0.06083;20120412;;;;;;;;
CHF;3M;12-apr-12;;;0.08667;20120412;;;;;;;;
CHF;6M;12-apr-12;;;0.14333;20120412;;;;;;;;
CHF;9M;12-apr-12;;;0.23533;20120412;;;;;;;;
CHF;1Y;12-apr-12;;;0.36283;20120412;;;;;;;;
CHF;2Y;12-apr-12;;;0.09800;20120412;;;;;;;;
CHF;3Y;12-apr-12;;;0.14200;20120412;;;;;;;;
CHF;4Y;12-apr-12;;;0.24500;20120412;;;;;;;;
CHF;5Y;12-apr-12;;;0.38800;20120412;;;;;;;;
CHF;7Y;12-apr-12;;;0.69500;20120412;;;;;;;;
CHF;10Y;12-apr-12;;;1.05000;20120412;;;;;;;;
CAD;Spot;11-apr-12;;;1.00230;20120411;;;;;;;;
CAD;1W;11-apr-12;;;1.07950;20120411;;;;;;;;
CAD;1M;11-apr-12;;;1.18800;20120411;;;;;;;;
CAD;3M;11-apr-12;;;1.38200;20120411;;;;;;;;
CAD;6M;11-apr-12;;;1.55100;20120411;;;;;;;;
CAD;9M;11-apr-12;;;1.66500;20120411;;;;;;;;
CAD;1Y;11-apr-12;;;1.89300;20120411;;;;;;;;
CAD;2Y;11-apr-12;;;1.29100;20120411;;;;;;;;
CAD;3Y;11-apr-12;;;1.40600;20120411;;;;;;;;
CAD;4Y;11-apr-12;;;1.52900;20120411;;;;;;;;
CAD;5Y;11-apr-12;;;1.65700;20120411;;;;;;;;
CAD;7Y;11-apr-12;;;1.97000;20120411;;;;;;;;
CAD;10Y;11-apr-12;;;2.35900;20120411;;;;;;;;
CAD;Spot;12-apr-12;;;1.00230;20120412;;;;;;;;
CAD;1W;12-apr-12;;;1.07950;20120412;;;;;;;;
CAD;1M;12-apr-12;;;1.18800;20120412;;;;;;;;
CAD;3M;12-apr-12;;;1.38200;20120412;;;;;;;;
CAD;6M;12-apr-12;;;1.55100;20120412;;;;;;;;
CAD;9M;12-apr-12;;;1.66500;20120412;;;;;;;;
CAD;1Y;12-apr-12;;;1.89300;20120412;;;;;;;;
CAD;2Y;12-apr-12;;;1.29100;20120412;;;;;;;;
CAD;3Y;12-apr-12;;;1.40600;20120412;;;;;;;;
CAD;4Y;12-apr-12;;;1.52900;20120412;;;;;;;;
CAD;5Y;12-apr-12;;;1.65700;20120412;;;;;;;;
CAD;7Y;12-apr-12;;;1.97000;20120412;;;;;;;;
